employee_id,entry_date,time_in,time_out,month,hours_worked,overtime_hrs,absent
1004,8/9/2024,8:00,17:00,AUGUST,8,0,No
1005,8/9/2024,8:20,17:20,AUGUST,8,0,No
1001,8/12/2024,8:00,17:00,AUGUST,8,0,No
1002,8/12/2024,8:15,17:15,AUGUST,8,0,No
1003,8/12/2024,8:05,17:05,AUGUST,8,0,No
1004,8/12/2024,8:10,17:10,AUGUST,8,0,No
1005,8/12/2024,8:20,17:20,AUGUST,8,0,No
1001,8/13/2024,8:00,17:00,AUGUST,8,0,No
1002,8/13/2024,8:15,17:15,AUGUST,8,0,No
1003,8/13/2024,8:05,17:05,AUGUST,8,0,No
1004,8/13/2024,8:10,17:10,AUGUST,8,0,No
1005,8/13/2024,8:20,17:20,AUGUST,8,0,No
1001,8/14/2024,8:00,17:00,AUGUST,8,0,No
1002,8/14/2024,8:10,17:10,AUGUST,8,0,No
1003,8/14/2024,8:05,17:05,AUGUST,8,0,No
1004,8/14/2024,8:15,17:15,AUGUST,8,0,No
1005,8/14/2024,8:20,17:20,AUGUST,8,0,No
1001,8/15/2024,8:00,17:00,AUGUST,8,0,No
1002,8/15/2024,8:15,17:15,AUGUST,8,0,No
1003,8/15/2024,8:05,17:05,AUGUST,8,0,No
1004,8/15/2024,8:10,17:10,AUGUST,8,0,No
1005,8/15/2024,8:20,17:20,AUGUST,8,0,No
1001,8/16/2024,8:00,17:00,AUGUST,8,0,No
1002,8/16/2024,8:15,17:15,AUGUST,8,0,No
1003,8/16/2024,8:05,17:05,AUGUST,8,0,No
1004,8/16/2024,8:10,17:10,AUGUST,8,0,No
1005,8/16/2024,8:20,17:20,AUGUST,8,0,No
1001,8/19/2024,8:00,17:00,AUGUST,8,0,No
1002,8/19/2024,8:15,17:15,AUGUST,8,0,No
1003,8/19/2024,8:05,17:05,AUGUST,8,0,No
1004,8/19/2024,8:10,17:10,AUGUST,8,0,No
1005,8/19/2024,8:20,17:20,AUGUST,8,0,No
1001,8/20/2024,8:00,17:00,AUGUST,8,0,No
1002,8/20/2024,8:10,17:10,AUGUST,8,0,No
1003,8/20/2024,8:05,17:05,AUGUST,8,0,No
1004,8/20/2024,8:15,17:15,AUGUST,8,0,No
1005,8/20/2024,8:20,17:20,AUGUST,8,0,No
1001,8/21/2024,8:00,17:00,AUGUST,8,0,No
1002,8/21/2024,8:15,17:15,AUGUST,8,0,No
1003,8/21/2024,8:05,17:05,AUGUST,8,0,No
1004,8/21/2024,8:10,17:10,AUGUST,8,0,No
1005,8/21/2024,8:20,17:20,AUGUST,8,0,No
1001,8/22/2024,8:00,17:00,AUGUST,8,0,No
1002,8/22/2024,8:15,17:15,AUGUST,8,0,No
1003,8/22/2024,8:05,17:05,AUGUST,8,0,No
1004,8/22/2024,8:10,17:10,AUGUST,8,0,No
1005,8/22/2024,8:20,17:20,AUGUST,8,0,No
1001,8/23/2024,8:00,17:00,AUGUST,8,0,No
1002,8/23/2024,8:10,17:10,AUGUST,8,0,No
1003,8/23/2024,8:05,17:05,AUGUST,8,0,No
1004,8/23/2024,8:00,17:00,AUGUST,8,0,No
1005,8/23/2024,8:20,17:20,AUGUST,8,0,No
1001,8/26/2024,8:00,17:00,AUGUST,8,0,No
1002,8/26/2024,8:15,17:15,AUGUST,8,0,No
1003,8/26/2024,8:05,17:05,AUGUST,8,0,No
1004,8/26/2024,8:10,17:10,AUGUST,8,0,No
1005,8/26/2024,8:20,17:20,AUGUST,8,0,No
1001,8/27/2024,8:00,17:00,AUGUST,8,0,No
1002,8/27/2024,8:10,17:10,AUGUST,8,0,No
1003,8/27/2024,8:05,17:05,AUGUST,8,0,No
1004,8/27/2024,8:15,17:15,AUGUST,8,0,No
1005,8/27/2024,8:20,17:20,AUGUST,8,0,No
1001,8/28/2024,8:00,17:00,AUGUST,8,0,No
1002,8/28/2024,8:15,17:15,AUGUST,8,0,No
1003,8/28/2024,8:05,17:05,AUGUST,8,0,No
1004,8/28/2024,8:10,17:10,AUGUST,8,0,No
1005,8/28/2024,8:20,17:20,AUGUST,8,0,No
1001,8/29/2024,8:00,17:00,AUGUST,8,0,No
1002,8/29/2024,8:10,17:10,AUGUST,8,0,No
1003,8/29/2024,8:05,17:05,AUGUST,8,0,No
1004,8/29/2024,8:00,17:00,AUGUST,8,0,No
1005,8/29/2024,8:20,17:20,AUGUST,8,0,No
1001,8/30/2024,8:00,17:00,AUGUST,8,0,No
1002,8/30/2024,8:15,17:15,AUGUST,8,0,No
1003,8/30/2024,8:05,17:05,AUGUST,8,0,No
1004,8/30/2024,8:10,17:10,AUGUST,8,0,No
1005,8/30/2024,8:20,17:20,AUGUST,8,0,No
1001,9/02/2024,8:00,17:30,SEPTEMBER,8,0,No
1002,9/02/2024,8:15,17:45,SEPTEMBER,8,0,No
1003,9/02/2024,8:10,17:30,SEPTEMBER,8,0,No
1004,9/02/2024,8:05,17:35,SEPTEMBER,8,0,No
1005,9/02/2024,8:00,17:30,SEPTEMBER,8,0,No
1001,9/03/2024,8:00,17:30,SEPTEMBER,8,0,No
1002,9/03/2024,8:10,17:40,SEPTEMBER,8,0,No
1003,9/03/2024,8:05,17:30,SEPTEMBER,8,0,No
1004,9/03/2024,8:15,17:45,SEPTEMBER,8,0,No
1005,9/03/2024,8:00,17:30,SEPTEMBER,8,0,No
1001,9/04/2024,8:10,17:30,SEPTEMBER,8,0,No
1002,9/04/2024,8:00,17:30,SEPTEMBER,8,0,No
1003,9/04/2024,8:15,17:45,SEPTEMBER,8,0,No
1004,9/04/2024,8:10,17:40,SEPTEMBER,8,0,No
1005,9/04/2024,8:05,17:35,SEPTEMBER,8,0,No
1001,9/05/2024,8:00,17:30,SEPTEMBER,8,0,No
1002,9/05/2024,8:15,17:45,SEPTEMBER,8,0,No
1003,9/05/2024,8:05,17:30,SEPTEMBER,8,0,No
1004,9/05/2024,8:00,17:30,SEPTEMBER,8,0,No
1005,9/05/2024,8:10,17:40,SEPTEMBER,8,0,No
1001,9/06/2024,8:10,17:30,SEPTEMBER,8,0,No
1002,9/06/2024,8:00,17:30,SEPTEMBER,8,0,No
1003,9/06/2024,8:05,17:35,SEPTEMBER,8,0,No
1004,9/06/2024,8:10,17:40,SEPTEMBER,8,0,No
1005,9/06/2024,8:00,17:30,SEPTEMBER,8,0,No
1001,9/09/2024,8:10,17:30,SEPTEMBER,8,0,No
1002,9/09/2024,8:05,17:30,SEPTEMBER,8,0,No
1003,9/09/2024,8:00,17:30,SEPTEMBER,8,0,No
1004,9/09/2024,8:15,17:45,SEPTEMBER,8,0,No
1005,9/09/2024,8:10,17:30,SEPTEMBER,8,0,No
1001,9/10/2024,8:00,17:30,SEPTEMBER,8,0,No
1002,9/10/2024,8:15,17:45,SEPTEMBER,8,0,No
1003,9/10/2024,8:10,17:30,SEPTEMBER,8,0,No
1004,9/10/2024,8:05,17:35,SEPTEMBER,8,0,No
1005,9/10/2024,8:00,17:30,SEPTEMBER,8,0,No
1001,9/11/2024,8:10,17:30,SEPTEMBER,8,0,No
1002,9/11/2024,8:00,17:30,SEPTEMBER,8,0,No
1003,9/11/2024,8:15,17:45,SEPTEMBER,8,0,No
1004,9/11/2024,8:10,17:40,SEPTEMBER,8,0,No
1005,9/11/2024,8:00,17:30,SEPTEMBER,8,0,No
1001,9/12/2024,8:00,17:30,SEPTEMBER,8,0,No
1002,9/12/2024,8:15,17:45,SEPTEMBER,8,0,No
1003,9/12/2024,8:10,17:30,SEPTEMBER,8,0,No
1004,9/12/2024,8:15,17:45,SEPTEMBER,8,0,No
1005,9/12/2024,8:00,17:30,SEPTEMBER,8,0,No
1001,9/13/2024,8:00,17:30,SEPTEMBER,8,0,No
1002,9/13/2024,8:15,17:45,SEPTEMBER,8,0,No
1003,9/13/2024,8:05,17:30,SEPTEMBER,8,0,No
1004,9/13/2024,8:10,17:40,SEPTEMBER,8,0,No
1005,9/13/2024,8:00,17:30,SEPTEMBER,8,0,No
1001,9/16/2024,8:00,17:30,SEPTEMBER,8,0,No
1002,9/16/2024,8:15,17:45,SEPTEMBER,8,0,No
1003,9/16/2024,8:10,17:30,SEPTEMBER,8,0,No
1004,9/16/2024,8:00,17:15,SEPTEMBER,8,0,No
1005,9/16/2024,8:10,17:45,SEPTEMBER,8,0,No
1001,9/17/2024,8:05,17:30,SEPTEMBER,8,0,No
1002,9/17/2024,8:00,17:30,SEPTEMBER,8,0,No
1003,9/17/2024,8:20,17:50,SEPTEMBER,8,0,No
1004,9/17/2024,8:15,17:45,SEPTEMBER,8,0,No
1005,9/17/2024,8:10,17:30,SEPTEMBER,8,0,No
1001,9/18/2024,8:15,17:30,SEPTEMBER,8,0,No
1002,9/18/2024,8:00,17:30,SEPTEMBER,8,0,No
1003,9/18/2024,8:05,17:30,SEPTEMBER,8,0,No
1004,9/18/2024,8:15,17:45,SEPTEMBER,8,0,No
1005,9/18/2024,8:10,17:30,SEPTEMBER,8,0,No
1001,9/19/2024,8:00,17:30,SEPTEMBER,8,0,No
1002,9/19/2024,8:15,17:45,SEPTEMBER,8,0,No
1003,9/19/2024,8:10,17:30,SEPTEMBER,8,0,No
1004,9/19/2024,8:00,17:30,SEPTEMBER,8,0,No
1005,9/19/2024,8:10,17:40,SEPTEMBER,8,0,No
1001,9/20/2024,8:10,17:30,SEPTEMBER,8,0,No
1002,9/20/2024,8:00,17:30,SEPTEMBER,8,0,No
1003,9/20/2024,8:15,17:45,SEPTEMBER,8,0,No
1004,9/20/2024,8:10,17:40,SEPTEMBER,8,0,No
1005,9/20/2024,8:00,17:30,SEPTEMBER,8,0,No
1001,9/23/2024,8:15,17:45,SEPTEMBER,8,0,No
1002,9/23/2024,8:10,17:30,SEPTEMBER,8,0,No
1003,9/23/2024,8:05,17:30,SEPTEMBER,8,0,No
1004,9/23/2024,8:00,17:30,SEPTEMBER,8,0,No
1005,9/23/2024,8:10,17:30,SEPTEMBER,8,0,No
1001,9/24/2024,8:10,17:30,SEPTEMBER,8,0,No
1002,9/24/2024,8:15,17:45,SEPTEMBER,8,0,No
1003,9/24/2024,8:05,17:30,SEPTEMBER,8,0,No
1004,9/24/2024,8:00,17:30,SEPTEMBER,8,0,No
1005,9/24/2024,8:10,17:30,SEPTEMBER,8,0,No
1001,9/25/2024,8:10,17:30,SEPTEMBER,8,0,No
1002,9/25/2024,8:15,17:45,SEPTEMBER,8,0,No
1003,9/25/2024,8:00,17:30,SEPTEMBER,8,0,No
1004,9/25/2024,8:05,17:35,SEPTEMBER,8,0,No
1005,9/25/2024,8:00,17:30,SEPTEMBER,8,0,No
1001,9/26/2024,8:10,17:30,SEPTEMBER,8,0,No
1002,9/26/2024,8:00,17:30,SEPTEMBER,8,0,No
1003,9/26/2024,8:15,17:45,SEPTEMBER,8,0,No
1004,9/26/2024,8:00,17:30,SEPTEMBER,8,0,No
1005,9/26/2024,8:10,17:40,SEPTEMBER,8,0,No
1001,9/27/2024,8:15,17:45,SEPTEMBER,8,0,No
1002,9/27/2024,8:10,17:30,SEPTEMBER,8,0,No
1003,9/27/2024,8:05,17:30,SEPTEMBER,8,0,No
1004,9/27/2024,8:10,17:40,SEPTEMBER,8,0,No
1005,9/27/2024,8:00,17:30,SEPTEMBER,8,0,No
1001,9/30/2024,8:10,17:30,SEPTEMBER,8,0,No
1002,9/30/2024,8:15,17:45,SEPTEMBER,8,0,No
1003,9/30/2024,8:05,17:30,SEPTEMBER,8,0,No
1004,9/30/2024,8:00,17:30,SEPTEMBER,8,0,No
1005,9/30/2024,8:10,17:30,SEPTEMBER,8,0,No
1001,10/1/2024,8:10,17:30,OCTOBER,8,0,No
1002,10/1/2024,8:05,18:00,OCTOBER,8,1,No
1003,10/1/2024,8:20,20:00,OCTOBER,8,3,No
1004,10/1/2024,8:00,16:45,OCTOBER,7,0,No
1005,10/1/2024,8:15,17:15,OCTOBER,8,0,No
1001,10/2/2024,9:00,19:00,OCTOBER,8,2,No
1002,10/2/2024,8:25,22:00,OCTOBER,8,5,No
1003,10/2/2024,8:05,17:30,OCTOBER,8,0,No
1004,10/2/2024,8:10,17:45,OCTOBER,8,0,No
1005,10/2/2024,, ,OCTOBER,0,0,Yes
1001,10/3/2024,8:00,17:00,OCTOBER,8,0,No
1002,10/3/2024,, ,OCTOBER,0,0,Yes
1003,10/3/2024,8:30,18:00,OCTOBER,8,0,No
1004,10/3/2024,8:45,20:15,OCTOBER,8,3,No
1005,10/3/2024,8:20,18:20,OCTOBER,8,0,No
1001,10/4/2024,8:25,17:30,OCTOBER,8,0,No
1002,10/4/2024,8:00,16:45,OCTOBER,7,0,No
1003,10/4/2024,9:00,20:30,OCTOBER,8,3,No
1004,10/4/2024,, ,OCTOBER,0,0,Yes
1005,10/4/2024,8:10,22:00,OCTOBER,8,5,No
1001,10/7/2024,, ,OCTOBER,0,0,Yes
1002,10/7/2024,8:15,18:45,OCTOBER,8,1,No
1003,10/7/2024,8:30,17:45,OCTOBER,8,0,No
1004,10/7/2024,9:00,21:00,OCTOBER,8,4,No
1005,10/7/2024,8:05,17:20,OCTOBER,8,0,No
1001,10/8/2024,8:00,16:30,OCTOBER,7,0,No
1002,10/8/2024,8:35,20:15,OCTOBER,8,2,No
1003,10/8/2024,, ,OCTOBER,0,0,Yes
1004,10/8/2024,8:10,17:30,OCTOBER,8,0,No
1005,10/8/2024,8:45,18:00,OCTOBER,8,0,No
1001,10/9/2024,8:10,19:00,OCTOBER,8,2,No
1002,10/9/2024,8:00,17:00,OCTOBER,8,0,No
1003,10/9/2024,9:00,18:30,OCTOBER,8,1,No
1004,10/9/2024,8:20,17:45,OCTOBER,8,0,No
1005,10/9/2024,, ,OCTOBER,0,0,Yes
1001,10/10/2024,8:15,20:00,OCTOBER,8,3,No
1002,10/10/2024,8:25,17:30,OCTOBER,8,0,No
1003,10/10/2024,8:10,17:30,OCTOBER,8,0,No
1004,10/10/2024,, ,OCTOBER,0,0,Yes
1005,10/10/2024,8:00,21:00,OCTOBER,8,4,No
1001,10/11/2024,8:30,18:00,OCTOBER,8,0,No
1002,10/11/2024,8:00,17:30,OCTOBER,8,0,No
1003,10/11/2024,8:10,17:30,OCTOBER,8,0,No
1004,10/11/2024,8:00,16:30,OCTOBER,7,0,No
1005,10/11/2024,8:15,17:00,OCTOBER,8,0,No
1001,10/14/2024,8:00,17:30,OCTOBER,8,0,No
1002,10/14/2024,8:20,17:50,OCTOBER,8,0,No
1003,10/14/2024,8:00,17:00,OCTOBER,8,0,No
1004,10/14/2024,8:15,17:45,OCTOBER,8,0,No
1005,10/14/2024,8:30,17:30,OCTOBER,8,0,No
1001,10/15/2024,8:25,17:15,OCTOBER,8,0,No
1002,10/15/2024,8:15,18:00,OCTOBER,8,1,No
1003,10/15/2024,8:30,17:30,OCTOBER,8,0,No
1004,10/15/2024,9:00,19:00,OCTOBER,8,2,No
1005,10/15/2024,, ,OCTOBER,0,0,Yes
1001,10/16/2024,8:10,19:00,OCTOBER,8,2,No
1002,10/16/2024,8:05,17:30,OCTOBER,8,0,No
1003,10/16/2024,8:15,18:30,OCTOBER,8,1,No
1004,10/16/2024,8:20,17:50,OCTOBER,8,0,No
1005,10/16/2024,8:00,17:30,OCTOBER,8,0,No
1001,10/17/2024,8:05,16:50,OCTOBER,7,0,No
1002,10/17/2024,8:15,17:30,OCTOBER,8,0,No
1003,10/17/2024,8:00,17:15,OCTOBER,8,0,No
1004,10/17/2024,8:30,19:00,OCTOBER,8,3,No
1005,10/17/2024,8:05,17:25,OCTOBER,8,0,No
1001,10/18/2024,8:00,17:30,OCTOBER,8,0,No
1002,10/18/2024,8:25,17:45,OCTOBER,8,0,No
1003,10/18/2024,8:15,17:30,OCTOBER,8,0,No
1004,10/18/2024,, ,OCTOBER,0,0,Yes
1005,10/18/2024,8:10,20:00,OCTOBER,8,4,No
1001,10/21/2024,8:05,17:30,OCTOBER,8,0,No
1002,10/21/2024,8:00,17:45,OCTOBER,8,0,No
1003,10/21/2024,8:20,18:00,OCTOBER,8,0,No
1004,10/21/2024,8:15,19:00,OCTOBER,8,1,No
1005,10/21/2024,8:30,17:40,OCTOBER,8,0,No
1001,10/22/2024,8:15,17:30,OCTOBER,8,0,No
1002,10/22/2024,8:00,18:00,OCTOBER,8,0,No
1003,10/22/2024,8:30,18:30,OCTOBER,8,0,No
1004,10/22/2024,8:05,17:45,OCTOBER,8,0,No
1005,10/22/2024,, ,OCTOBER,0,0,Yes
1001,10/23/2024,8:00,17:15,OCTOBER,8,0,No
1002,10/23/2024,8:05,19:00,OCTOBER,8,3,No
1003,10/23/2024,8:10,17:40,OCTOBER,8,0,No
1004,10/23/2024,8:25,17:50,OCTOBER,8,0,No
1005,10/23/2024,8:00,17:30,OCTOBER,8,0,No
1001,10/24/2024,8:20,17:30,OCTOBER,8,0,No
1002,10/24/2024,8:15,18:00,OCTOBER,8,1,No
1003,10/24/2024,8:10,17:50,OCTOBER,8,0,No
1004,10/24/2024,8:30,19:00,OCTOBER,8,3,No
1005,10/24/2024,8:00,17:30,OCTOBER,8,0,No
1001,10/25/2024,8:30,17:30,OCTOBER,8,0,No
1002,10/25/2024,8:00,17:30,OCTOBER,8,0,No
1003,10/25/2024,8:15,17:45,OCTOBER,8,0,No
1004,10/25/2024,8:00,17:15,OCTOBER,8,0,No
1005,10/25/2024,8:10,17:40,OCTOBER,8,0,No
1001,10/28/2024,8:15,18:00,OCTOBER,8,1,No
1002,10/28/2024,8:00,17:30,OCTOBER,8,0,No
1003,10/28/2024,8:30,18:00,OCTOBER,8,0,No
1004,10/28/2024,8:20,17:45,OCTOBER,8,0,No
1005,10/28/2024,, ,OCTOBER,0,0,Yes
1001,10/29/2024,8:00,17:30,OCTOBER,8,0,No
1002,10/29/2024,8:15,18:30,OCTOBER,8,1,No
1003,10/29/2024,8:25,17:50,OCTOBER,8,0,No
1004,10/29/2024,8:10,17:30,OCTOBER,8,0,No
1005,10/29/2024,8:30,17:30,OCTOBER,8,0,No
1001,10/30/2024,8:15,17:45,OCTOBER,8,0,No
1002,10/30/2024,8:30,19:00,OCTOBER,8,3,No
1003,10/30/2024,8:20,18:00,OCTOBER,8,0,No
1004,10/30/2024,8:15,18:00,OCTOBER,8,0,No
1005,10/30/2024,8:00,17:30,OCTOBER,8,0,No
1001,10/31/2024,8:10,17:30,OCTOBER,8,0,No
1002,10/31/2024,8:05,17:45,OCTOBER,8,0,No
1003,10/31/2024,8:20,18:00,OCTOBER,8,1,No
1004,10/31/2024,8:30,17:30,OCTOBER,8,0,No
1005,10/31/2024,8:00,19:00,OCTOBER,8,4,No
